#K-Path      Energy-Level
# NKPTS & NBANDS: 180  96
# Band-Index    1
   2.26333    -13.304561
   2.26380    -13.304561
   2.26427    -13.304561
   2.26473    -13.304562
   2.26520    -13.304562
   2.26567    -13.304479
   2.26613    -13.304480
   2.26660    -13.304480
   2.26707    -13.304481
   2.26753    -13.304481
   2.26800    -13.304482
   2.26847    -13.304650
   2.26893    -13.304651
   2.26940    -13.304652
   2.26987    -13.304653
   2.26987    -13.304653
   2.30617    -13.304842
   2.34246    -13.305531
   2.37876    -13.306021
   2.41506    -13.306607
   2.45136    -13.307164
   2.48766    -13.307701
   2.52396    -13.308120
   2.56026    -13.308543
   2.59655    -13.308118
   2.63285    -13.308126
   2.66915    -13.307754
   2.70545    -13.306983
   2.74175    -13.306056
   2.77805    -13.305084
   2.81435    -13.304404
   2.85065    -13.303579
   2.88694    -13.303084
   2.92324    -13.302431
   2.95954    -13.302297
   2.95954    -13.302297
   2.98479    -13.304013
   3.01004    -13.308444
   3.03529    -13.315866
   3.06054    -13.324938
   3.08579    -13.335767
   3.11104    -13.347884
   3.13629    -13.360799
   3.16154    -13.374063
   3.18679    -13.387248
   3.21204    -13.400180
   3.23729    -13.412647
   3.26254    -13.424111
   3.28779    -13.434568
   3.31304    -13.443788
   3.33829    -13.451502
   3.36354    -13.457565
   3.38879    -13.462089
   3.41404    -13.464643
   3.43929    -13.465522
   3.43929    -13.308127
   3.47565    -13.308626
   3.51201    -13.310794
   3.54838    -13.314191
   3.58474    -13.319218
   3.62110    -13.325861
   3.65746    -13.334317
   3.69382    -13.344238
   3.73019    -13.355670
   3.76655    -13.368283
   3.80291    -13.381683
   3.83927    -13.395739
   3.87563    -13.409547
   3.91200    -13.422630
   3.94836    -13.434737
   3.98472    -13.445286
   4.02108    -13.453911
   4.05744    -13.460456
   4.09381    -13.464335
   4.13017    -13.465522
   4.13017    -13.465522
   4.15633    -13.465289
   4.18250    -13.463955
   4.20867    -13.461857
   4.23483    -13.459148
   4.26100    -13.455702
   4.28716    -13.451670
   4.31333    -13.447249
   4.33949    -13.442484
   4.36566    -13.437441
   4.39183    -13.432439
   4.41799    -13.427667
   4.44416    -13.422979
   4.47032    -13.418577
   4.49649    -13.414690
   4.52265    -13.411474
   4.54882    -13.409017
   4.57499    -13.407040
   4.60115    -13.405787
   4.62732    -13.405237
 
 
# Band-Index    6
   4.62732    -13.404919
   4.60115    -13.405469
   4.57499    -13.406720
   4.54882    -13.408694
   4.52265    -13.411147
   4.49649    -13.414358
   4.47032    -13.418239
   4.44416    -13.422634
   4.41799    -13.427314
   4.39183    -13.432078
   4.36566    -13.437072
   4.33949    -13.442107
   4.31333    -13.446865
   4.28716    -13.451278
   4.26100    -13.455304
   4.23483    -13.458744
   4.20867    -13.461448
   4.18250    -13.463543
   4.15633    -13.464875
   4.13017    -13.465107
   4.13017    -13.465107
   4.09381    -13.463924
   4.05744    -13.460050
   4.02108    -13.453513
   3.98472    -13.444898
   3.94836    -13.434362
   3.91200    -13.422272
   3.87563    -13.409208
   3.83927    -13.395421
   3.80291    -13.381386
   3.76655    -13.368005
   3.73019    -13.355409
   3.69382    -13.343989
   3.65746    -13.334075
   3.62110    -13.325621
   3.58474    -13.318976
   3.54838    -13.313942
   3.51201    -13.310534
   3.47565    -13.308352
   3.43929    -13.307839
   3.43929    -13.465107
   3.41404    -13.464231
   3.38879    -13.461679
   3.36354    -13.457159
   3.33829    -13.451098
   3.31304    -13.443388
   3.28779    -13.434172
   3.26254    -13.423721
   3.23729    -13.412263
   3.21204    -13.399803
   3.18679    -13.386879
   3.16154    -13.373705
   3.13629    -13.360451
   3.11104    -13.347548
   3.08579    -13.335442
   3.06054    -13.324623
   3.03529    -13.315559
   3.01004    -13.308140
   2.98479    -13.303708
   2.95954    -13.301985
   2.95954    -13.301985
   2.92324    -13.302120
   2.88694    -13.302775
   2.85065    -13.303272
   2.81435    -13.304100
   2.77805    -13.304784
   2.74175    -13.305760
   2.70545    -13.306690
   2.66915    -13.307464
   2.63285    -13.307837
   2.59655    -13.307829
   2.56026    -13.308253
   2.52396    -13.307828
   2.48766    -13.307406
   2.45136    -13.306866
   2.41506    -13.306305
   2.37876    -13.305715
   2.34246    -13.305223
   2.30617    -13.304531
   2.26987    -13.304341
   2.26987    -13.304341
   2.26940    -13.304340
   2.26893    -13.304339
   2.26847    -13.304339
   2.26800    -13.304170
   2.26753    -13.304169
   2.26707    -13.304169
   2.26660    -13.304168
   2.26613    -13.304168
   2.26567    -13.304167
   2.26520    -13.304250
   2.26473    -13.304250
   2.26427    -13.304250
   2.26380    -13.304249
   2.26333    -13.304249
   2.26287    -13.304249
   2.26240    -13.304249
   2.26193    -13.304249
   2.26147    -13.304249
   2.26100    -13.304249
