#K-Path      Energy-Level
# NKPTS & NBANDS: 400  96
# Band-Index    1
   1.29435    -21.530612
   1.28936    -21.530635
   1.28436    -21.530676
   1.27936    -21.530710
   1.27436    -21.530730
   1.26937    -21.530714
   1.26437    -21.530732
   1.25937    -21.530749
   1.25437    -21.530744
   1.24938    -21.530758
   1.24438    -21.530771
   1.23938    -21.530822
   1.23438    -21.530802
   1.22939    -21.530839
   1.22439    -21.530848
   1.21939    -21.530855
   1.21440    -21.530860
   1.20940    -21.530841
   1.20440    -21.530829
   1.19940    -21.530831
   1.19441    -21.530831
   1.19441    -21.530831
   1.18941    -21.530831
   1.18441    -21.530829
   1.17941    -21.530841
   1.17442    -21.530860
   1.16942    -21.530855
   1.16442    -21.530848
   1.15942    -21.530839
   1.15443    -21.530802
   1.14943    -21.530822
   1.14443    -21.530771
   1.13943    -21.530758
   1.13444    -21.530744
   1.12944    -21.530749
   1.12444    -21.530732
   1.11945    -21.530714
   1.11445    -21.530730
   1.10945    -21.530710
   1.10445    -21.530676
   1.09946    -21.530635
   1.09446    -21.530612
   1.08946    -21.530588
   1.08446    -21.530621
   1.07947    -21.530594
   1.07447    -21.530567
   1.06947    -21.530496
   1.06447    -21.530468
   1.05948    -21.530413
   1.05448    -21.530383
   1.04948    -21.530351
   1.04448    -21.530319
   1.03949    -21.530286
   1.03449    -21.530252
   1.02949    -21.530276
   1.02450    -21.530236
   1.01950    -21.530147
   1.01450    -21.530111
   1.00950    -21.530074
   1.00451    -21.530037
   0.99951    -21.530000
   0.99451    -21.529962
   0.98951    -21.529904
   0.98452    -21.529866
   0.97952    -21.529827
   0.97452    -21.529788
   0.96952    -21.529735
   0.96453    -21.529768
   0.95953    -21.529677
   0.95453    -21.529670
   0.94953    -21.529630
   0.94454    -21.529591
   0.93954    -21.529552
   0.93454    -21.529468
   0.92955    -21.529455
   0.92455    -21.529416
   0.91955    -21.529365
   0.91455    -21.529359
   0.90956    -21.529321
   0.90456    -21.529283
   0.89956    -21.529246
   0.89456    -21.529209
   0.88957    -21.529172
   0.88457    -21.529155
   0.87957    -21.529120
   0.87457    -21.529085
   0.86958    -21.529050
   0.86458    -21.529000
   0.85958    -21.529006
   0.85458    -21.528974
   0.84959    -21.528942
   0.84459    -21.528912
   0.83959    -21.528922
   0.83460    -21.528867
   0.82960    -21.528839
   0.82460    -21.528832
   0.81960    -21.528805
   0.81461    -21.528779
   0.80961    -21.528754
   0.80461    -21.528730
   0.79961    -21.528707
   0.79462    -21.528684
   0.78962    -21.528663
   0.78462    -21.528626
   0.77962    -21.528607
   0.77463    -21.528554
   0.76963    -21.528537
   0.76463    -21.528522
   0.75963    -21.528507
   0.75464    -21.528493
   0.74964    -21.528532
   0.74464    -21.528520
   0.73965    -21.528538
   0.73465    -21.528529
   0.72965    -21.528538
   0.72465    -21.528532
   0.71966    -21.528527
   0.71466    -21.528523
   0.70966    -21.528520
   0.70466    -21.528518
   0.69967    -21.528517
   0.69967    -21.528517
   0.69260    -21.528518
   0.68553    -21.528520
   0.67846    -21.528522
   0.67140    -21.528503
   0.66433    -21.528486
   0.65726    -21.528492
   0.65020    -21.528500
   0.64313    -21.528509
   0.63606    -21.528519
   0.62899    -21.528530
   0.62193    -21.528549
   0.61486    -21.528569
   0.60779    -21.528593
   0.60072    -21.528620
   0.59366    -21.528637
   0.58659    -21.528638
   0.57952    -21.528657
   0.57245    -21.528659
   0.56539    -21.528659
   0.55832    -21.528695
   0.55125    -21.528714
   0.54419    -21.528755
   0.53712    -21.528738
   0.53005    -21.528765
   0.52298    -21.528760
   0.51592    -21.528845
   0.50885    -21.528869
   0.50178    -21.528901
   0.49471    -21.528934
   0.48765    -21.528968
   0.48058    -21.528982
   0.47351    -21.529006
   0.46644    -21.529081
   0.45938    -21.529110
   0.45231    -21.529118
   0.44524    -21.529224
